LSOA11CD,Total_Airbnb_beds,Total_Airbnb_bedrooms,avg_Airbnb_PPB_day
E01000001,12,11,134.2727273
E01000002,22,18,156.4444444
E01000003,19,12,106.6666667
E01000005,130,92,103.1304348
E01000006,5,5,34.4
E01000007,14,14,34
E01000008,6,5,48
E01000009,2,2,29.5
E01000010,26,19,56.68421053
E01000011,3,3,35.66666667
E01000012,7,6,38.16666667
E01000013,4,4,113.75
E01000014,3,5,34.4
E01000015,12,6,43.33333333
E01000016,3,3,28.66666667
E01000017,0,0,NA
E01000018,1,2,37.5
E01000019,0,0,NA
E01000020,11,7,37
E01000021,0,0,NA
E01000022,0,0,NA
E01000023,10,7,40.42857143
E01000024,0,0,NA
E01000025,1,1,53
E01000027,1,1,100
E01000028,3,3,30.66666667
E01000029,10,9,51.77777778
E01000030,0,0,NA
E01000031,2,2,23
E01000032,4,4,51.25
E01000033,1,1,14
E01000034,1,1,30
E01000035,5,4,53.5
E01000036,9,6,27.5
E01000037,0,0,NA
E01000038,1,1,40
E01000039,0,0,NA
E01000040,2,1,40
E01000041,2,4,45
E01000042,9,4,56.5
E01000043,6,6,30
E01000044,2,3,23
E01000045,4,4,41.75
E01000046,1,1,30
E01000048,1,1,29
E01000049,0,0,NA
E01000050,6,4,43.25
E01000051,2,2,39
E01000052,6,5,68.8
E01000053,0,0,NA
E01000054,2,2,61
E01000055,2,1,15
E01000056,1,1,23
E01000057,5,2,34
E01000058,1,1,20
E01000059,2,2,21.5
E01000060,6,5,31.6
E01000061,3,3,40
E01000062,2,2,42
E01000063,11,9,29.77777778
E01000064,32,19,59.89473684
E01000065,1,1,40
E01000066,4,3,36.66666667
E01000067,3,2,43
E01000068,12,8,48.75
E01000069,0,0,NA
E01000070,1,1,40
E01000071,9,8,45.625
E01000072,5,3,33.33333333
E01000073,4,3,51.66666667
E01000074,0,0,NA
E01000075,4,2,85
E01000076,8,7,24.14285714
E01000077,2,2,38.5
E01000078,1,1,20
E01000079,4,3,25
E01000080,5,3,60
E01000081,2,2,22.5
E01000082,1,1,28
E01000083,4,2,37
E01000084,2,2,25
E01000085,4,3,38.66666667
E01000086,1,1,31
E01000087,1,1,30
E01000088,2,1,85
E01000089,0,0,NA
E01000090,5,3,104.3333333
E01000091,18,11,84.54545455
E01000092,13,10,49.8
E01000093,0,0,NA
E01000094,7,5,37.2
E01000095,1,1,40
E01000096,1,1,34
E01000097,5,4,52.75
E01000098,1,1,40
E01000099,6,5,79.8
